Password Crack,TP,FP,FN,Total,FPR,FNR,Precision,Recall,F1,Entry Node Identified - Host 1,Entry Node Identified - Host 2
1-feature-top2,32,179,5,211,0.8483,0.1351,0.1517,0.8649,0.2581,N,N
1-feature-top4,32,185,5,217,0.8525,0.1351,0.1475,0.8649,0.2520,N,N
1-feature-top6,36,197,1,233,0.8455,0.0270,0.1545,0.9730,0.2667,N,N
1-feature-top8,36,200,1,236,0.8475,0.0270,0.1525,0.9730,0.2637,N,N
1-feature-top10,36,203,1,239,0.8494,0.0270,0.1506,0.9730,0.2609,N,N
1-feature-top12,37,216,0,253,0.8538,0.0000,0.1462,1.0000,0.2552,Y,N
3-feature-top2,27,163,10,190,0.8579,0.2703,0.1421,0.7297,0.2379,N,N
3-feature-top4,34,186,3,220,0.8455,0.0811,0.1545,0.9189,0.2646,N,N
3-feature-top6,35,205,2,240,0.8542,0.0541,0.1458,0.9459,0.2527,N,Y
3-feature-top8,35,208,2,243,0.8560,0.0541,0.1440,0.9459,0.2500,N,Y
3-feature-top10,36,211,1,247,0.8543,0.0270,0.1457,0.9730,0.2535,N,Y
3-feature-top12,37,218,0,255,0.8549,0.0000,0.1451,1.0000,0.2534,Y,Y
